L,order,contrast,condest,L2-u1-T,L2-u1-T-rel,L-infty-L2-error-u,L-infty-L2-error-ut,L2-L2-error-u_t,L2-u1-0,H1-u1-0,L2-error-u_t-at-0,H1-dt-at-t-0,bestapprox-L2-u1-T,bestapprox-L2-u1-T-rel,bestapprox-L-infty-L2-error-u,bestapprox-L-infty-L2-error-ut,bestapprox-L2-L2-error-u_t,bestapprox-L2-u1-0,bestapprox-H1-u1-0,bestapprox-L2-error-u_t-at-0,bestapprox-H1-dt-at-t-0
1,2,2.5,12522754.507329326,1.1148256138960737,3.392531121152264,2.0155273355787906,39.53180970480608,9.990298624089235,0.010392350310509372,0.4460466753153146,0.6251838935591152,1.0712305688744297,0.10990788540035777,0.3344612081325121,0.15494633273221872,3.8567564470310742,0.9001636111316813,0.01097766358955027,0.5053195534596913,0.07017623450296244,0.5754957879626537
2,2,2.5,300175670.77903616,0.6011611844582876,1.8293957532282354,1.019491753451567,19.08753544079799,5.2203797240132195,0.0060600417330622935,0.2588186688841333,0.9963291247569299,1.255147793641063,0.02686965380730689,0.08176713972325805,0.038003050741374035,0.8976506697322691,0.22065474686853395,0.001880387137780557,0.1633604712126097,0.008898774798042228,0.1722592460106519
3,2,2.5,24368996176.654182,0.3256549191699557,0.9910016507289601,0.47395147677829996,9.25496897958603,2.585012325518188,0.001961683070002898,0.1261872617287571,0.5570766956075703,0.6832639573363275,0.003691453563826417,0.011233475559544945,0.005220796067882889,0.12345873429857801,0.03038264238205769,0.00030434649891659417,0.04237109827967636,0.0011148773481656812,0.043485975627842045
4,2,2.5,3565415463638.6772,0.19771501615721845,0.6016672737052984,0.24920750217670024,5.495668622109852,1.46810991888958,0.0005261232105512216,0.05937072160260322,0.24286105393071425,0.3022317755333175,0.0005453620488566242,0.0016595932038716886,0.0007712811266112138,0.018860440025251106,0.0045156747538233006,4.211651711860072e-05,0.010170895934353991,0.00013944778698344953,0.01031034372133744
1,3,2.5,4725910.32858072,0.7307791297291398,2.223836561149978,1.3087336578724178,23.751124067888288,6.495117273680311,0.008500211297496141,0.3165784127851355,2.1965594478168637,2.5131378606019994,0.06292588056024347,0.19148997027910894,0.08899185650607638,2.0966456406842693,0.5162053001234291,0.005041771043704677,0.22414895734495086,0.021480411765074644,0.2456293691100255
2,3,2.5,999058189079.9321,0.44174982735474705,1.3442904815736678,0.70385390836573,12.444777753202418,3.65094844314064,0.0006595873732008717,0.028507617541232825,0.32381550334290116,0.352323120884134,0.002192475763366341,0.006671930846975716,0.003100649374355244,0.07305515240204664,0.017986778212178166,0.0001586205648014694,0.02224757735104825,0.002761609405198699,0.02500918675624695
3,3,2.5,4.5124433170974753e+21,0.13846858022825467,0.42137423236245003,0.25291705568655776,4.435437939776773,1.270664956263305,7.710040006573169e-05,0.009428958399756694,0.017406392786666915,0.02683535118642361,0.0002752042432349175,0.0008374750181221238,0.0003891976822505697,0.009169453952981025,0.0022577864644267856,9.455572659677621e-06,0.0028206468080705263,0.0003478203586520032,0.0031684671667225293
4,3,2.5,6.492090250612888e+25,0.9924268911338142,3.0200578263893627,0.9924268911338144,17.657019454506884,4.994587761161895,2.2782253905225522e-05,0.004277349567679462,0.0140384385678258,0.018315788135505263,1.5252714021728806e-05,4.6415588661018844e-05,2.157059602656012e-05,0.0005082006646546317,0.00012516838879558553,5.839683276695e-07,0.0003528725669598454,4.356000302058168e-05,0.00039643256998042706
