r val absval
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.000799999999999468e-01 2.318081037844530075e-03 1.198088126993198657e-03
6.001600000000000268e-01 4.635850276415172388e-03 2.396015102153501407e-03
6.002399999999999958e-01 6.953305010775607739e-03 3.593779527448641258e-03
6.003199999999999648e-01 9.270442536763281657e-03 4.791380005246267428e-03
6.003999999999999337e-01 1.158726015097658567e-02 5.988815138307321088e-03
6.004800000000000137e-01 1.390375515078122112e-02 7.186083529789321148e-03
6.005599999999999827e-01 1.621992483429738133e-02 8.383183783239744544e-03
6.006399999999999517e-01 1.853576650041901391e-02 9.580114502605976620e-03
6.007200000000000317e-01 2.085127744880424169e-02 1.077687429223036369e-02
6.008000000000000007e-01 2.316645497986562913e-02 1.197346175684518323e-02
6.008799999999999697e-01 2.548129639478952449e-02 1.316987550158263583e-02
6.009599999999999387e-01 2.779579899552318822e-02 1.436611413196819780e-02
6.010400000000000187e-01 3.010996008478122182e-02 1.556217625392394138e-02
6.011199999999999877e-01 3.242377696603271353e-02 1.675806047376188906e-02
6.011999999999999567e-01 3.473724694352051112e-02 1.795376539819397779e-02
6.012799999999999256e-01 3.705036732224839535e-02 1.914928963432543235e-02
6.013600000000000056e-01 3.936313540798749150e-02 2.034463178965807001e-02
6.014399999999999746e-01 4.167554850726336302e-02 2.153979047208363917e-02
6.015199999999999436e-01 4.398760392737541963e-02 2.273476428989384610e-02
6.016000000000000236e-01 4.629929897638710573e-02 2.392955185177528601e-02
6.016799999999999926e-01 4.861063096311645654e-02 2.512415176680455470e-02
6.017599999999999616e-01 5.092159719715518007e-02 2.631856264445812596e-02
6.018399999999999306e-01 5.323219498885596590e-02 2.751278309460577012e-02
6.019200000000000106e-01 5.554242164933878567e-02 2.870681172751383611e-02
6.019999999999999796e-01 5.785227449047816023e-02 2.990064715383864910e-02
6.020799999999999486e-01 6.016175082492232484e-02 3.109428798463642965e-02
6.021600000000000286e-01 6.247084796608368129e-02 3.228773283135834976e-02
6.022399999999999975e-01 6.477956322812911116e-02 3.348098030584553686e-02
6.023199999999999665e-01 6.708789392599924517e-02 3.467402902033901724e-02
6.023999999999999355e-01 6.939583737539561925e-02 3.586687758747309634e-02
6.024800000000000155e-01 7.170339089278716938e-02 3.705952462027869987e-02
6.025599999999999845e-01 7.401055179539724194e-02 3.825196873217667076e-02
6.026399999999999535e-01 7.631731740122300878e-02 3.944420853698778900e-02
6.027199999999999225e-01 7.862368502902254697e-02 4.063624264892612414e-02
6.028000000000000025e-01 8.092965199832119483e-02 4.182806968260228270e-02
6.028799999999999715e-01 8.323521562939893703e-02 4.301968825301692029e-02
6.029599999999999405e-01 8.554037324330940328e-02 4.421109697557053242e-02
6.030400000000000205e-01 8.784512216187033429e-02 4.540229446605854868e-02
6.031199999999999894e-01 9.014945970765408934e-02 4.659327934066642696e-02
6.031999999999999584e-01 9.245338320400661725e-02 4.778405021597943725e-02
6.032799999999999274e-01 9.475688997503496636e-02 4.897460570897622240e-02
6.033600000000000074e-01 9.705997734561334911e-02 5.016494443703194833e-02
6.034399999999999764e-01 9.936264264137059654e-02 5.135506501791177458e-02
6.035199999999999454e-01 1.016648831887092819e-01 5.254496606978077688e-02
