x,y,y_dt,L,k
0.0,1.6163731499796064e-05,-0.0025654614194811094,3,3
0.002004008016032064,1.2979224916159403e-05,-0.35837707372308125,3,3
0.004008016032064128,1.0232527857667776e-05,-0.7140867296577527,3,3
0.0060120240480961915,7.901672542524778e-06,-1.069570017969964,3,3
0.008016032064128256,5.964691188933997e-06,-1.4247025274061909,3,3
0.01002004008016032,4.399616015099031e-06,-1.7793598467128977,3,3
0.012024048096192383,3.184479239223465e-06,-2.1334175646365567,3,3
0.014028056112224447,2.297313079510891e-06,-2.486751269923643,3,3
0.01603206412825651,1.7161497541649036e-06,-2.839236551320624,3,3
0.018036072144288574,1.4190214813890928e-06,-3.1907489975739725,3,3
0.02004008016032064,1.3839604793870497e-06,-3.5411641974301578,3,3
0.022044088176352703,1.5889989663623673e-06,-3.8903577396356503,3,3
0.024048096192384766,2.0121691605186356e-06,-4.238205212936923,3,3
0.026052104208416832,2.6315032800594483e-06,-4.584582206080445,3,3
0.028056112224448895,3.425033543188395e-06,-4.929364307812687,3,3
0.03006012024048096,4.370792168109069e-06,-5.272427106880123,3,3
0.03206412825651302,5.44681137302506e-06,-5.613646192029217,3,3
0.03406813627254509,6.631123376139962e-06,-5.952897152006448,3,3
0.03607214428857715,7.90176039565736e-06,-6.290055575558287,3,3
0.038076152304609215,9.236754649780855e-06,-6.624997051431192,3,3
0.04008016032064128,1.0614138356714036e-05,-6.95759716837165,3,3
0.04208416833667334,1.2011943734660488e-05,-7.2877315151261195,3,3
0.044088176352705406,1.3408203001823814e-05,-7.615275680441079,3,3
0.04609218436873747,1.4780948376407593e-05,-7.940105253062998,3,3
0.04809619238476953,1.6108212076615423e-05,-8.262095821738342,3,3
0.0501002004008016,1.73680263206509e-05,-8.581122975213589,3,3
0.052104208416833664,1.853842332671761e-05,-8.897062302235211,3,3
0.05410821643286573,1.959743531301914e-05,-9.209789391549666,3,3
0.05611222444889779,2.052309449775909e-05,-9.519179831903447,3,3
0.058116232464929855,2.1293433099141055e-05,-9.825109212043003,3,3
0.06012024048096192,2.188648333536861e-05,-10.127453120714804,3,3
0.06212424849699398,2.228027742464536e-05,-10.426087146665349,3,3
0.06412825651302605,2.1299542409520067e-05,-10.7210535383829,3,3
0.06613226452905811,2.019072298910238e-05,-11.012142740034584,3,3
0.06813627254509018,1.9254809170210114e-05,-11.299236011996463,3,3
0.07014028056112225,1.8488361495120845e-05,-11.582251265768726,3,3
0.0721442885771543,1.7887940506112162e-05,-11.861106412851525,3,3
0.07414829659318636,1.7450106745461643e-05,-12.135719364745027,3,3
0.07615230460921843,1.7171420755446877e-05,-12.406008032949373,3,3
0.0781563126252505,1.7048443078345444e-05,-12.671890328964754,3,3
0.08016032064128256,1.707773425643493e-05,-12.933284164291285,3,3
0.08216432865731463,1.7255854831992914e-05,-13.19010745042916,3,3
0.08416833667334668,1.7579365347296977e-05,-13.442278098878543,3,3
0.08617234468937875,1.804482634462471e-05,-13.689714021139578,3,3
0.08817635270541081,1.8648798366253697e-05,-13.93233312871243,3,3
0.09018036072144288,1.938784195446151e-05,-14.170053333097258,3,3
0.09218436873747494,2.0258517651525748e-05,-14.40279254579422,3,3
0.09418837675350701,2.1257385999723975e-05,-14.63046867830349,3,3
0.09619238476953906,2.2381007541333787e-05,-14.852999642125205,3,3
0.09819639278557113,2.362594281863276e-05,-15.070303348759536,3,3
0.1002004008016032,2.4988752373898492e-05,-15.282297709706652,3,3
0.10220440881763526,2.6465996749408544e-05,-15.488900636466699,3,3
0.10420841683366733,2.805423648744052e-05,-15.690030040539861,3,3
0.1062124248496994,2.9750032130271986e-05,-15.885603833426254,3,3
0.10821643286573146,3.1549944220180544e-05,-16.075539926626078,3,3
0.11022044088176351,3.345053329944375e-05,-16.25975623163947,3,3
0.11222444889779558,3.5448359910339206e-05,-16.438170659966616,3,3
0.11422845691382764,3.7539984595144505e-05,-16.61070112310765,3,3
0.11623246492985971,3.972196789613721e-05,-16.77726553256276,3,3
0.11823647294589178,4.199087035559492e-05,-16.937781799832063,3,3
0.12024048096192384,4.43432525157952e-05,-17.092167836415747,3,3
0.1222444889779559,4.677567491901563e-05,-17.24034155381398,3,3
0.12424849699398796,4.928469810753383e-05,-17.382220863526914,3,3
