x,y,y_dt,L,k,contrast
0.0,-0.5614297256147334,-13.718097780348984,4,3,2.5
0.002004008016032064,-0.5690370041664328,-13.905196769201751,4,3,2.5
0.004008016032064128,-0.5764395401584715,-14.08703915670958,4,3,2.5
0.0060120240480961915,-0.5836352124406164,-14.263596654811465,4,3,2.5
0.008016032064128256,-0.5906218998626348,-14.434840975446292,4,3,2.5
0.01002004008016032,-0.5973974812742938,-14.60074383055317,4,3,2.5
0.012024048096192383,-0.6039598355253606,-14.7612769320709,4,3,2.5
0.014028056112224447,-0.6103068414656027,-14.91641199193856,4,3,2.5
0.01603206412825651,-0.6164363779447869,-15.06612072209515,4,3,2.5
0.018036072144288574,-0.6223463238126804,-15.21037483447958,4,3,2.5
0.02004008016032064,-0.6280345579190509,-15.349146041030878,4,3,2.5
0.022044088176352703,-0.6334989591136652,-15.482406053687953,4,3,2.5
0.024048096192384766,-0.6387374062462905,-15.610126584389775,4,3,2.5
0.026052104208416832,-0.6437477781666938,-15.73227934507537,4,3,2.5
0.028056112224448895,-0.648528309719395,-15.849086296786055,4,3,2.5
0.03006012024048096,-0.6530772905061353,-15.960370649123888,4,3,2.5
0.03206412825651302,-0.6573932293304645,-16.065975032327344,4,3,2.5
0.03406813627254509,-0.6614747592038259,-16.165852472774276,4,3,2.5
0.03607214428857715,-0.6653205131376614,-16.259955996843075,4,3,2.5
0.038076152304609215,-0.6689291241434141,-16.348238630911737,4,3,2.5
0.04008016032064128,-0.6722992252325263,-16.43065340135837,4,3,2.5
0.04208416833667334,-0.6754294494164406,-16.507153334561167,4,3,2.5
0.044088176352705406,-0.678318503618305,-16.57779647100594,4,3,2.5
0.04609218436873747,-0.6809653337941379,-16.642624813666146,4,3,2.5
0.04809619238476953,-0.6833691288320063,-16.7014546892471,4,3,2.5
0.0501002004008016,-0.6855292266087982,-16.75427438650493,4,3,2.5
0.052104208416833664,-0.6874449650014022,-16.801072194195484,4,3,2.5
0.05410821643286573,-0.6891156818867059,-16.841836401074715,4,3,2.5
0.05611222444889779,-0.6905407151415979,-16.87655529589884,4,3,2.5
0.058116232464929855,-0.6917194026429662,-16.90521716742336,4,3,2.5
0.06012024048096192,-0.6926511023682047,-16.927830156738338,4,3,2.5
0.06212424849699398,-0.6933355968523258,-16.944675233250962,4,3,2.5
0.06412825651302605,-0.6937725473983125,-16.955439243816073,4,3,2.5
0.06613226452905811,-0.6939620279717197,-16.960122471654245,4,3,2.5
0.06813627254509018,-0.6939041125381009,-16.95872519998639,4,3,2.5
0.07014028056112225,-0.6935988750630109,-16.951247712032853,4,3,2.5
0.0721442885771543,-0.6930463895120034,-16.937690291014547,4,3,2.5
0.07414829659318636,-0.6922467298506331,-16.918053220152103,4,3,2.5
0.07615230460921843,-0.691199970044454,-16.892336782666064,4,3,2.5
0.0781563126252505,-0.6899065006689361,-16.860793746374156,4,3,2.5
0.08016032064128256,-0.6883667147651367,-16.82327409400071,4,3,2.5
0.08216432865731463,-0.6865813223666601,-16.77971160299711,4,3,2.5
0.08416833667334668,-0.6845511278231506,-16.73012675038524,4,3,2.5
0.08617234468937875,-0.6822769354842522,-16.674540013186885,4,3,2.5
0.08817635270541081,-0.6797595496996086,-16.612971868423926,4,3,2.5
0.09018036072144288,-0.676999774818864,-16.545442793118156,4,3,2.5
0.09218436873747494,-0.6739984151916627,-16.47197326429125,4,3,2.5
