x,y,y_dt,L,k,contrast
0.0,-0.30956035494546513,-53.101812276497476,3,3,7.5
0.002004008016032064,-0.31372410712490867,-53.85515143197904,3,3,7.5
0.004008016032064128,-0.3177743266132539,-54.58832749091324,3,3,7.5
0.0060120240480961915,-0.32171008311722515,-55.30112191798339,3,3,7.5
0.008016032064128256,-0.3255304463435471,-55.99331617787262,3,3,7.5
0.01002004008016032,-0.3292344859989439,-56.66469173526414,3,3,7.5
0.012024048096192383,-0.33282127179014004,-57.315030054841216,3,3,7.5
0.014028056112224447,-0.3362898734238599,-57.94411260128725,3,3,7.5
0.01603206412825651,-0.3396393606068281,-58.55172083928517,3,3,7.5
0.018036072144288574,-0.34286880304576894,-59.137636233518464,3,3,7.5
0.02004008016032064,-0.34597727044740667,-59.70164024867024,3,3,7.5
0.022044088176352703,-0.34896383251846597,-60.243514349423634,3,3,7.5
0.024048096192384766,-0.35182755896567125,-60.76304000046214,3,3,7.5
0.026052104208416832,-0.35456751949574694,-61.25999866646869,3,3,7.5
0.028056112224448895,-0.3571827838154171,-61.73417181212681,3,3,7.5
0.03006012024048096,-0.35967242163140667,-62.18534090211942,3,3,7.5
0.03206412825651302,-0.3620355026504398,-62.613287401129966,3,3,7.5
0.03406813627254509,-0.364271096579241,-63.0177927738416,3,3,7.5
0.03607214428857715,-0.36637827312453464,-63.398638484937464,3,3,7.5
0.038076152304609215,-0.3683561019930452,-63.75560599910105,3,3,7.5
0.04008016032064128,-0.3702036528914969,-64.0884767810154,3,3,7.5
0.04208416833667334,-0.37191999552661437,-64.39703229536374,3,3,7.5
0.044088176352705406,-0.3735041996051221,-64.68105400682938,3,3,7.5
0.04609218436873747,-0.37495362772869445,-64.94166131254606,3,3,7.5
0.04809619238476953,-0.37626194020716097,-65.18324881434862,3,3,7.5
0.0501002004008016,-0.3774363548125245,-65.40013552072364,3,3,7.5
0.052104208416833664,-0.3784768265575931,-65.59232541100373,3,3,7.5
0.05410821643286573,-0.3793833104551749,-65.75982246452165,3,3,7.5
0.05611222444889779,-0.3801557615180778,-65.90263066061011,3,3,7.5
0.058116232464929855,-0.38079413475910984,-66.0207539786018,3,3,7.5
0.06012024048096192,-0.38129838519107906,-66.11419639782932,3,3,7.5
0.06212424849699398,-0.3816684678267934,-66.18296189762557,3,3,7.5
0.06412825651302605,-0.381904337679061,-66.22705445732299,3,3,7.5
0.06613226452905811,-0.38200594976068986,-66.24647805625459,3,3,7.5
0.06813627254509018,-0.3819732590844878,-66.24123667375295,3,3,7.5
0.07014028056112225,-0.3818062206632631,-66.21133428915084,3,3,7.5
0.0721442885771543,-0.3815047895098235,-66.1567748817809,3,3,7.5
0.07414829659318636,-0.38106892063697734,-66.07756243097569,3,3,7.5
0.07615230460921843,-0.3804985690575323,-65.97370091606817,3,3,7.5
0.0781563126252505,-0.37979368978429673,-65.84519431639097,3,3,7.5
0.08016032064128256,-0.3789542378300783,-65.69204661127665,3,3,7.5
0.08216432865731463,-0.3779737793100209,-65.51913598071806,3,3,7.5
0.08416833667334668,-0.376847923036627,-65.33005524198707,3,3,7.5
0.08617234468937875,-0.3755883770869233,-65.11655312769123,3,3,7.5
0.08817635270541081,-0.37419587178782604,-64.87878348495923,3,3,7.5
0.09018036072144288,-0.37267113746625163,-64.61690016092001,3,3,7.5
0.09218436873747494,-0.3710149044491166,-64.33105700270268,3,3,7.5
0.09418837675350701,-0.36922790306333725,-64.02140785743605,3,3,7.5
0.09619238476953906,-0.36731086363582993,-63.68810657224904,3,3,7.5
0.09819639278557113,-0.3652645164935112,-63.331306994270626,3,3,7.5
0.1002004008016032,-0.36308959196329743,-62.95116297062989,3,3,7.5
0.10220440881763526,-0.36078682037210486,-62.54782834845564,3,3,7.5
0.10420841683366733,-0.35835693204685004,-62.12145697487683,3,3,7.5
0.1062124248496994,-0.3558006573144493,-61.67220269702244,3,3,7.5
0.10821643286573146,-0.35311872650181914,-61.20021936202162,3,3,7.5
0.11022044088176351,-0.3503118699358759,-60.70566081700304,3,3,7.5
0.11222444889779558,-0.34738081794353587,-60.18868090909576,3,3,7.5
0.11422845691382764,-0.34432630085171567,-59.64943348542853,3,3,7.5
0.11623246492985971,-0.34114904898733156,-59.088072393130545,3,3,7.5
0.11823647294589178,-0.33784027931104027,-58.511993652737914,3,3,7.5
0.12024048096192384,-0.33440283966510326,-57.920195380950204,3,3,7.5
0.1222444889779559,-0.3308462631291635,-57.3069113940151,3,3,7.5
0.12424849699398796,-0.32717213953018337,-56.67240379177827,3,3,7.5
0.12625250501002003,-0.3233820586951259,-56.01693467408489,3,3,7.5
0.1282565130260521,-0.3194776104509539,-55.3407661407804,3,3,7.5
0.13026052104208416,-0.3154603846246301,-54.644160291710236,3,3,7.5
0.13226452905811623,-0.31133197104311733,-53.92737922671967,3,3,7.5
0.1342685370741483,-0.3070939595333783,-53.19068504565428,3,3,7.5
0.13627254509018036,-0.3027479399223759,-52.43433984835933,3,3,7.5
