x,y,y_dt,L,k,contrast
0.0,-0.5610471240640142,-13.60546966900705,2,3,2.5
0.002004008016032064,-0.5687660030146864,-13.79405505838821,2,3,2.5
0.004008016032064128,-0.5762599977207898,-13.977377513707808,2,3,2.5
0.0060120240480961915,-0.5835285206746434,-14.155419369423953,2,3,2.5
0.008016032064128256,-0.590570984368566,-14.328162959994614,2,3,2.5
0.01002004008016032,-0.5973868012948766,-14.495590619877959,2,3,2.5
0.012024048096192383,-0.6039753839458931,-14.657684683532011,2,3,2.5
0.014028056112224447,-0.6103361448139348,-14.814427485414654,2,3,2.5
0.01603206412825651,-0.6164684963913204,-14.965801359984027,2,3,2.5
0.018036072144288574,-0.6223718511703684,-15.111788641698126,2,3,2.5
0.02004008016032064,-0.6280456216433979,-15.252371665015119,2,3,2.5
0.022044088176352703,-0.6334892203027274,-15.387532764392915,2,3,2.5
0.024048096192384766,-0.6387020596406756,-15.517254274289598,2,3,2.5
0.026052104208416832,-0.643683552149561,-15.641518529163108,2,3,2.5
0.028056112224448895,-0.6484331103217028,-15.760307863471667,2,3,2.5
0.03006012024048096,-0.6529501466494195,-15.873604611673159,2,3,2.5
0.03206412825651302,-0.6572340736250296,-15.981391108225779,2,3,2.5
0.03406813627254509,-0.6612843037408523,-16.08364968758741,2,3,2.5
0.03607214428857715,-0.665100249489206,-16.180362684215993,2,3,2.5
0.038076152304609215,-0.6686813233624095,-16.27151243256992,2,3,2.5
0.04008016032064128,-0.6720269378527813,-16.357081267106963,2,3,2.5
0.04208416833667334,-0.6751365054526406,-16.43705152228509,2,3,2.5
0.044088176352705406,-0.6780094386543057,-16.51140553256269,2,3,2.5
0.04609218436873747,-0.6806451499500956,-16.580125632397483,2,3,2.5
0.04809619238476953,-0.6830430518323289,-16.643194156247603,2,3,2.5
0.0501002004008016,-0.6852025567933243,-16.700593438571104,2,3,2.5
0.052104208416833664,-0.6871230773254005,-16.752305813826013,2,3,2.5
0.05410821643286573,-0.6888040259208763,-16.79831361647038,2,3,2.5
0.05611222444889779,-0.6902448150720706,-16.838599180962262,2,3,2.5
0.058116232464929855,-0.6914448572713017,-16.873144841759597,2,3,2.5
0.06012024048096192,-0.6924035650108886,-16.901932933320467,2,3,2.5
0.06212424849699398,-0.6931203507831498,-16.924945790103067,2,3,2.5
0.06412825651302605,-0.6935946270804046,-16.942165746565166,2,3,2.5
0.06613226452905811,-0.6938258063949709,-16.953575137165046,2,3,2.5
0.06813627254509018,-0.6938133012191684,-16.959156296360618,2,3,2.5
0.07014028056112225,-0.6935565240453148,-16.958891558609906,2,3,2.5
0.0721442885771543,-0.6930548873657296,-16.952763258370965,2,3,2.5
0.07414829659318636,-0.692307803672731,-16.940753730101903,2,3,2.5
0.07615230460921843,-0.6913146854586381,-16.922845308260634,2,3,2.5
0.0781563126252505,-0.6900749452157695,-16.89902032730538,2,3,2.5
0.08016032064128256,-0.6885879954364436,-16.869261121693995,2,3,2.5
0.08216432865731463,-0.6868532486129797,-16.83355002588462,2,3,2.5
