x,y,y_dt,L,k
0.0,2.4064056468000708e-05,-0.002546300546585996,3,3
0.002004008016032064,0.017206310284745875,-0.14967301231734542,3,3
0.004008016032064128,0.034380658790696385,-0.2967662424901023,3,3
0.0060120240480961915,0.05154128704956301,-0.44377492741613356,3,3
0.008016032064128256,0.06868237253658944,-0.5906480034467312,3,3
0.01002004008016032,0.08579809272701923,-0.73733440693317,3,3
0.012024048096192383,0.10288262509609593,-0.8837830742267418,3,3
0.014028056112224447,0.11993014711906322,-1.0299429416787138,3,3
0.01603206412825651,0.13693483627116468,-1.1757629456403844,3,3
0.018036072144288574,0.15389087002764382,-1.321192022463027,3,3
0.02004008016032064,0.17079242586374435,-1.466179108497946,3,3
0.022044088176352703,0.1876336812547098,-1.6106731400963854,3,3
0.024048096192384766,0.20440881367578378,-1.754623053609647,3,3
0.026052104208416832,0.2211120006022099,-1.8979777853890338,3,3
0.028056112224448895,0.23773741950923177,-2.0406862717858187,3,3
0.03006012024048096,0.25427924787209294,-2.182697449151255,3,3
0.03206412825651302,0.270731663166037,-2.3239602538366704,3,3
0.03406813627254509,0.2870888428663076,-2.464423622193319,3,3
0.03607214428857715,0.3033449644481483,-2.604036490572504,3,3
0.038076152304609215,0.3194942053868026,-2.7427477953254673,3,3
0.04008016032064128,0.3355307431575143,-2.88050647280353,3,3
0.04208416833667334,0.3514487552355269,-3.0172614593579663,3,3
0.044088176352705406,0.367242419096084,-3.152961691340046,3,3
0.04609218436873747,0.38290591221442916,-3.2875561051011015,3,3
0.04809619238476953,0.3984334120658059,-3.420993636992348,3,3
0.0501002004008016,0.4138190961254581,-3.553223223365121,3,3
0.052104208416833664,0.42905714186862914,-3.684193800570677,3,3
0.05410821643286573,0.44414172677056263,-3.8138543049602927,3,3
0.05611222444889779,0.45906702830650203,-3.9421536728852455,3,3
0.058116232464929855,0.4738272239516913,-4.069040840696873,3,3
0.06012024048096192,0.48841649118137365,-4.194464744746378,3,3
0.06212424849699398,0.502829007470793,-4.3183743213851,3,3
0.06412825651302605,0.5170610336489269,-4.440180047964583,3,3
0.06613226452905811,0.5311034622725681,-4.560274736340858,3,3
0.06813627254509018,0.5449516527981219,-4.678750630432198,3,3
0.07014028056112225,0.558601741943642,-4.795573709618203,3,3
0.0721442885771543,0.5720498664271814,-4.910709953277944,3,3
0.07414829659318636,0.5852921629667938,-5.024125340790672,3,3
0.07615230460921843,0.5983247682805325,-5.135785851535619,3,3
0.0781563126252505,0.6111438190864508,-5.245657464892059,3,3
0.08016032064128256,0.6237454521026021,-5.353706160239231,3,3
0.08216432865731463,0.6361258040470399,-5.459897916956265,3,3
0.08416833667334668,0.6482810116378175,-5.564198714422616,3,3
0.08617234468937875,0.6602072115929885,-5.666574532017474,3,3
0.08817635270541081,0.671900540630606,-5.76699134911998,3,3
0.09018036072144288,0.6833571354687231,-5.865415145109331,3,3
0.09218436873747494,0.694573132825394,-5.961811899364932,3,3
0.09418837675350701,0.7055446694186714,-6.056147591266001,3,3
0.09619238476953906,0.7162678819666092,-6.148388200191686,3,3
0.09819639278557113,0.7267389071872603,-6.238499705521356,3,3
0.1002004008016032,0.7369538817986783,-6.3264480866341195,3,3
0.10220440881763526,0.7469089425189164,-6.412199322909185,3,3
0.10420841683366733,0.7566002260660285,-6.495719393726038,3,3
0.1062124248496994,0.7660238691580673,-6.576974278463762,3,3
0.10821643286573146,0.7751760085130869,-6.655929956501545,3,3
0.11022044088176351,0.7840527808491401,-6.732552407218758,3,3
0.11222444889779558,0.7926503228842804,-6.806807609994532,3,3
0.11422845691382764,0.8009647713365615,-6.87866154420826,3,3
0.11623246492985971,0.8089922629240365,-6.948080189238986,3,3
0.11823647294589178,0.8167289343647588,-7.0150295244661365,3,3
0.12024048096192384,0.8241709223767819,-7.079475529268784,3,3
0.1222444889779559,0.831314363678159,-7.14138418302629,3,3
0.12424849699398796,0.8381553949869438,-7.200721465117898,3,3
0.12625250501002003,0.8446942125771494,-7.25667670936712,3,3
0.1282565130260521,0.8509260395286049,-7.30955326884294,3,3
0.13026052104208416,0.8568476000591528,-7.359814553544339,3,3
0.13226452905811623,0.8624582987093761,-7.407455432197253,3,3
0.1342685370741483,0.8677575400198574,-7.4524707735278,3,3
0.13627254509018036,0.8727447285311796,-7.494855446261944,3,3
0.13827655310621242,0.8774192687839258,-7.534604319125808,3,3
0.1402805611222445,0.8817805653186789,-7.571712260845473,3,3
0.14228456913827653,0.8858280226760216,-7.6061741401468765,3,3
0.1442885771543086,0.8895610453965366,-7.637984825756032,3,3
0.14629258517034066,0.8929790380208072,-7.6671391863991225,3,3
0.14829659318637273,0.8960814050894158,-7.693632090802037,3,3
0.1503006012024048,0.8988675511429457,-7.717458407690835,3,3
0.15230460921843686,0.9013368807219796,-7.738613005791716,3,3
0.15430861723446893,0.9034887983671,-7.757090753830525,3,3
0.156312625250501,0.9053227086188905,-7.772886520533369,3,3
0.15831663326653306,0.9068380160179332,-7.785995174626269,3,3
0.16032064128256512,0.9080341251048117,-7.796411584835283,3,3
0.1623246492985972,0.9089104404201083,-7.804130619886475,3,3
0.16432865731462926,0.9094663665044059,-7.809147148505918,3,3
0.16633266533066132,0.9097013078982877,-7.8114560394194505,3,3
0.16833667334669336,0.9096146691423366,-7.811052161353441,3,3
0.17034068136272543,0.9092058547771352,-7.807930383033614,3,3
0.1723446893787575,0.9084742693432664,-7.802085573186201,3,3
0.17434869739478956,0.907419317381313,-7.793512600537088,3,3
0.17635270541082163,0.9060404034318581,-7.782206333812486,3,3
