x,y,y_dt,L,k,contrast
0.0,0.5740208152259061,-40.945429586338584,1,3,7.5
0.002004008016032064,0.5818703532403015,-41.63068498681288,1,3,7.5
0.004008016032064128,0.5895316238576429,-42.296442836407074,1,3,7.5
0.0060120240480961915,0.5969994111829074,-42.94220193359474,1,3,7.5
0.008016032064128256,0.6042684993210727,-43.567461076849355,1,3,7.5
0.01002004008016032,0.6113336723771162,-44.1717190646445,1,3,7.5
0.012024048096192383,0.6181897144560152,-44.75447469545367,1,3,7.5
0.014028056112224447,0.6248314096627474,-45.31522676775041,1,3,7.5
0.01603206412825651,0.6312535421022903,-45.85347408000831,1,3,7.5
0.018036072144288574,0.637450895879621,-46.36871543070082,1,3,7.5
0.02004008016032064,0.6434182550997174,-46.8604496183015,1,3,7.5
0.022044088176352703,0.6491504038675568,-47.32817544128398,1,3,7.5
0.024048096192384766,0.6546421262881167,-47.771391698121676,1,3,7.5
0.026052104208416832,0.6598882064663742,-48.18959718728813,1,3,7.5
0.028056112224448895,0.6649067392989142,-48.59224678795847,1,3,7.5
0.03006012024048096,0.669684768021425,-48.974793610048366,1,3,7.5
0.03206412825651302,0.6742105704553623,-49.332993193901316,1,3,7.5
0.03406813627254509,0.678482107185307,-49.66677597997733,1,3,7.5
0.03607214428857715,0.6824973387958402,-49.976072408736385,1,3,7.5
0.038076152304609215,0.6862542258715434,-50.26081292063855,1,3,7.5
0.04008016032064128,0.6897507289969972,-50.52092795614381,1,3,7.5
0.04208416833667334,0.6929848087567827,-50.75634795571215,1,3,7.5
0.044088176352705406,0.6959832089891937,-50.97868788560574,1,3,7.5
0.04609218436873747,0.6987633706642603,-51.19558528637055,1,3,7.5
0.04809619238476953,0.7012770997468104,-51.387750892135706,1,3,7.5
0.0501002004008016,0.7035238615230589,-51.555230767300685,1,3,7.5
0.052104208416833664,0.7055031212792209,-51.698070976264866,1,3,7.5
0.05410821643286573,0.7072143443015113,-51.81631758342769,1,3,7.5
0.05611222444889779,0.7086569958761454,-51.91001665318863,1,3,7.5
0.058116232464929855,0.7098305412893384,-51.979214249947084,1,3,7.5
0.06012024048096192,0.7107405441933113,-52.02634899697726,1,3,7.5
0.06212424849699398,0.711476086619106,-52.08656318702306,1,3,7.5
0.06412825651302605,0.7119418160102049,-52.12244661139499,1,3,7.5
0.06613226452905811,0.7121380261251556,-52.1340779438743,1,3,7.5
0.06813627254509018,0.7120650107225053,-52.12153585824224,1,3,7.5
0.07014028056112225,0.7117230635608013,-52.084899028280105,1,3,7.5
0.0721442885771543,0.7111124783985909,-52.02424612776912,1,3,7.5
0.07414829659318636,0.7102335489944217,-51.93965583049055,1,3,7.5
0.07615230460921843,0.7090865691068406,-51.831206810225666,1,3,7.5
0.0781563126252505,0.7077572410678418,-51.731775457870846,1,3,7.5
0.08016032064128256,0.7061904174234237,-51.61997948033658,1,3,7.5
0.08216432865731463,0.7043575874898613,-51.48459912700024,1,3,7.5
0.08416833667334668,0.7022597189379578,-51.32573995614888,1,3,7.5
0.08617234468937875,0.6998977794385166,-51.14350752606967,1,3,7.5
0.08817635270541081,0.697272736662341,-50.93800739504978,1,3,7.5
0.09018036072144288,0.6943855582802338,-50.70934512137627,1,3,7.5
0.09218436873747494,0.6912372119629988,-50.45762626333633,1,3,7.5
0.09418837675350701,0.68787886819459,-50.20201071812939,1,3,7.5
0.09619238476953906,0.6843290506254283,-49.9491676569543,1,3,7.5
0.09819639278557113,0.6805219471935113,-49.67363866458798,1,3,7.5
0.1002004008016032,0.6764592181664881,-49.3755723154377,1,3,7.5
0.10220440881763526,0.6721425238120076,-49.055117183910774,1,3,7.5
0.10420841683366733,0.6675735243977186,-48.71242184441448,1,3,7.5
0.1062124248496994,0.6627538801912696,-48.34763487135605,1,3,7.5
0.10821643286573146,0.6576852514603099,-47.96090483914278,1,3,7.5
0.11022044088176351,0.6523817142506513,-47.55706681535507,1,3,7.5
0.11222444889779558,0.6469331263203757,-47.16951084790158,1,3,7.5
