x,y,y_dt,contrast
0.0,0.0,0.0,1.0
0.002004008016032064,2.0716428838798476e-87,-1.1560113015244236e-84,1.0
0.004008016032064128,7.004133895050569e-87,-3.8993466003941504e-84,1.0
0.0060120240480961915,2.1559520171920217e-86,-1.196939104682223e-83,1.0
0.008016032064128256,6.55545082742494e-86,-3.629002891487126e-83,1.0
0.01002004008016032,1.9849849084692762e-85,-1.095679420562832e-82,1.0
0.012024048096192383,5.990633357069401e-85,-3.297129185753128e-82,1.0
0.014028056112224447,1.8021391119755666e-84,-9.889734897638005e-82,1.0
0.01603206412825651,5.40390958770754e-84,-2.9568807068671822e-81,1.0
0.018036072144288574,1.6152229105765766e-83,-8.812190082888424e-81,1.0
0.02004008016032064,4.812397963433491e-83,-2.6177901867347116e-80,1.0
0.022044088176352703,1.4292074914348852e-82,-7.751517344317851e-80,1.0
0.024048096192384766,4.230909302412768e-82,-2.287912958242281e-79,1.0
0.026052104208416832,1.2484663147141789e-81,-6.731209966146236e-79,1.0
0.028056112224448895,3.672185610346007e-81,-1.9740021405194616e-78,1.0
0.03006012024048096,1.0766563394259632e-80,-5.770360148618829e-78,1.0
0.03206412825651302,3.1465472760705977e-80,-1.6813534382594474e-77,1.0
0.03406813627254509,9.166342965505062e-80,-4.883327883667066e-77,1.0
0.03607214428857715,2.6617215819825172e-79,-1.413752881941175e-76,1.0
0.038076152304609215,7.704311455112352e-79,-4.0797339857693145e-76,1.0
0.04008016032064128,2.2228477554851753e-78,-1.1735210675451196e-75,1.0
0.04208416833667334,6.392787784461704e-78,-3.364733033489022e-75,1.0
0.044088176352705406,1.8326331536403175e-77,-9.616366031045706e-75,1.0
0.04609218436873747,5.236793780408068e-77,-2.7395043054864168e-74,1.0
0.04809619238476953,1.4916264894740735e-76,-7.779175904223104e-74,1.0
0.0501002004008016,4.235058213964997e-76,-2.2018907876374322e-73,1.0
0.052104208416833664,1.1985698904103027e-75,-6.212387103321057e-73,1.0
0.05410821643286573,3.3812090639244805e-75,-1.7471161223292348e-72,1.0
0.05611222444889779,9.50791668564737e-75,-4.897625059877354e-72,1.0
0.058116232464929855,2.6650379177487294e-74,-1.3685156634146983e-71,1.0
0.06012024048096192,7.446052593249347e-74,-3.811662674187601e-71,1.0
0.06212424849699398,2.0737361014523668e-73,-1.058228779306274e-70,1.0
0.06412825651302605,5.756858556956636e-73,-2.9284989500959366e-70,1.0
0.06613226452905811,1.5930239751988962e-72,-8.078131997681937e-70,1.0
0.06813627254509018,4.394037376998339e-72,-2.2211462684850923e-69,1.0
0.07014028056112225,1.2081194148026574e-71,-6.087566045250104e-69,1.0
0.0721442885771543,3.311011295525287e-71,-1.663069881984886e-68,1.0
0.07414829659318636,9.045157699663529e-71,-4.52874188313414e-68,1.0
0.07615230460921843,2.463067454367911e-70,-1.2292631639995684e-67,1.0
0.0781563126252505,6.685611718262349e-70,-3.325924354592075e-67,1.0
0.08016032064128256,1.8088838318861812e-69,-8.96974379482799e-67,1.0
0.08216432865731463,4.878484006588393e-69,-2.4112811530760747e-66,1.0
0.08416833667334668,1.311486353930828e-68,-6.461238582171439e-66,1.0
0.08617234468937875,3.5143689127167567e-68,-1.7257734636715712e-65,1.0
0.08817635270541081,9.387189888826815e-68,-4.594643804503129e-65,1.0
0.09018036072144288,2.4993584143580783e-67,-1.2193262773373357e-64,1.0
0.09218436873747494,6.633246826778748e-67,-3.225432885870933e-64,1.0
0.09418837675350701,1.7548033641105138e-66,-8.504642195921576e-64,1.0
0.09619238476953906,4.627382935146878e-66,-2.235239243863334e-63,1.0
0.09819639278557113,1.2163179192269916e-65,-5.855876090482815e-63,1.0
0.1002004008016032,3.1868634201110796e-65,-1.5291835216661262e-62,1.0
0.10220440881763526,8.323087866638957e-65,-3.9804041853601615e-62,1.0
0.10420841683366733,2.166756907307596e-64,-1.0327484225131038e-61,1.0
0.1062124248496994,5.6226439357618025e-64,-2.6709248868396347e-61,1.0
0.10821643286573146,1.4543725064741268e-63,-6.885389998586127e-61,1.0
0.11022044088176351,3.7498630944014756e-63,-1.7692740820558783e-60,1.0
0.11222444889779558,9.637399234173636e-63,-4.5317021168466974e-60,1.0
0.11422845691382764,2.4689310997080354e-62,-1.1569836640395331e-59,1.0
0.11623246492985971,6.304675991089846e-62,-2.944372130187531e-59,1.0
0.11823647294589178,1.6048012585628387e-61,-7.46891872321911e-59,1.0
0.12024048096192384,4.071781100440782e-61,-1.888523081935901e-58,1.0
0.1222444889779559,1.0297985361274024e-60,-4.759774235920322e-58,1.0
0.12424849699398796,2.59612022183031e-60,-1.195776095762482e-57,1.0
0.12625250501002003,6.523820631512662e-60,-2.994420596075471e-57,1.0
0.1282565130260521,1.6341198507317343e-59,-7.474379052725672e-57,1.0
0.13026052104208416,4.080096937665918e-59,-1.859673842690854e-56,1.0
0.13226452905811623,1.0154574711283034e-58,-4.612089804739853e-56,1.0
0.1342685370741483,2.5191711784313646e-58,-1.140139516907694e-55,1.0
0.13627254509018036,6.22957330463144e-58,-2.8094252033552292e-55,1.0
0.13827655310621242,1.5355487339789832e-57,-6.900429821792528e-55,1.0
0.1402805611222445,3.772885191765862e-57,-1.689405745988305e-54,1.0
0.14228456913827653,9.240346511188911e-57,-4.1227870686394776e-54,1.0
0.1442885771543086,2.255836435934474e-56,-1.00287526041624e-53,1.0
0.14629258517034066,5.489485453108001e-56,-2.431655039188362e-53,1.0
0.14829659318637273,1.3315588090034277e-55,-5.877004250399097e-53,1.0
0.1503006012024048,3.219539424027413e-55,-1.4158231086344198e-52,1.0
