L,order,contrast,condest,L2-u1-T,L-infty-L2-error-u,L-infty-L2-error-ut,L2-L2-error-u_t,L2-u1-0,H1-u1-0,L2-error-u_t-at-0,H1-dt-at-t-0,bestapprox-L2-u1-T,bestapprox-L-infty-L2-error-u,bestapprox-L-infty-L2-error-ut,bestapprox-L2-L2-error-u_t,bestapprox-L2-u1-0,bestapprox-H1-u1-0,bestapprox-L2-error-u_t-at-0,bestapprox-H1-dt-at-t-0
1,2,2.5,891.0252466458995,0.679527793325768,0.16831841270863018,6.677077188248603,2.1857267507313165,0.06858879191096758,1.044279856625078,0.5357884260972137,1.5800682827222916,0.17477076160377855,0.12716933618474327,8.3325331652676,2.061619775122586,0.06857053160803944,0.9852799741331024,0.5357144232368172,1.5209943973699196
2,2,2.5,56615.383421773964,0.17672238062139922,0.0743167479989303,2.3459347256214236,0.8555879792434484,0.006657309722979391,0.2662276388353018,0.16498504342645118,0.431212682261753,0.0289055238716998,0.012332734044201878,2.074301845922157,0.448128882279253,0.0063875352362106974,0.18077319616548068,0.16366389445662974,0.3444370906221104
3,2,2.5,3755107.9814877505,0.05687944027825078,0.03301956107840292,2.1512035073940288,0.44729005797180355,0.0007119958532591594,0.06698161639814788,0.04656378389974035,0.11354540029788823,0.003904255032055753,0.001783966845638122,0.5210623943351099,0.11469850414372375,0.0005173337350480249,0.042937925292992445,0.04288112392537677,0.08581904921836922
4,2,2.5,802287364.6247433,0.013744494500428325,0.004269290785588273,0.3333052593973126,0.06727694992173498,0.00018464833088145037,0.02623743419363655,0.01764969716363732,0.04388713135727387,0.0005649040501017682,0.00024203971098528548,0.117794147785296,0.028910464172319288,4.988084390562575e-05,0.010189713269230417,0.010842537085565691,0.021032250354796108
1,3,2.5,3526.486189247145,0.3738475194885334,0.159194315215278,5.349179492952533,1.7604943895423326,0.009478176805029244,0.4416055592755447,0.18115385636622333,0.622759415641768,0.06244324861911306,0.025346399723689517,1.1404461952304084,0.2792630258086024,0.004974568969478922,0.22135315838273673,0.13213220998925326,0.35348536837198996
2,3,2.5,616230.2975134455,0.046838814583019465,0.013385109064034851,0.7002865897988005,0.1790639458725565,0.0007761406773350009,0.031004582137387663,0.06262758889649483,0.0936321710338825,0.0021973932845175143,0.0011936978312868658,0.26620272284047186,0.055759295519162755,0.0007959233946794392,0.022205215048379183,0.06190040150296881,0.08410561655134799
3,3,2.5,3579259635.937242,0.009554557579790148,0.0010992129644275667,0.12933146252574554,0.023087654587203552,8.438143066269156e-05,0.0047378060467854624,0.017791089590519095,0.022528895637304557,0.00027750340214186724,6.967804823198293e-05,0.04088644708893195,0.007330225371203468,6.376565256988121e-05,0.0028344044419110134,0.01749837743721008,0.020332781879121093
4,3,2.5,482475789344.18835,0.0003708910587298419,7.712042406789872e-05,0.006813297441483059,0.001481927315243806,4.4931501736234595e-06,0.0005217794434354801,0.00445227287929292,0.0049740523227284,1.5528733395387586e-05,4.217455635186572e-06,0.005363012314323204,0.0009267036686223385,4.217455635186572e-06,0.0003535368612908263,0.004499683164766092,0.004853220026056919
