x,y,y_dt,L,k
0.0,0.602610821235853,-38.66964285937624,3,3
0.002004008016032064,0.6109066572636099,-39.150647078484525,3,3
0.004008016032064128,0.6189661391985753,-39.622598741346025,3,3
0.0060120240480961915,0.6267880087807798,-40.085059483876535,3,3
0.008016032064128256,0.6343710077502549,-40.53759094199194,3,3
0.01002004008016032,0.6417138778470316,-40.979754751608056,3,3
0.012024048096192383,0.6488153608111409,-41.41111254864086,3,3
0.014028056112224447,0.6556741983826142,-41.83122596900603,3,3
0.01603206412825651,0.6622891323014827,-42.239656648619615,3,3
0.018036072144288574,0.6686589043077773,-42.63596622339733,3,3
0.02004008016032064,0.6747822561415296,-43.01971632925512,3,3
0.022044088176352703,0.6806579295427706,-43.39046860210877,3,3
0.024048096192384766,0.686284666251531,-43.74778467787425,3,3
0.026052104208416832,0.6916612080078425,-44.09122619246722,3,3
0.028056112224448895,0.6967862991871479,-44.4207579918924,3,3
0.03006012024048096,0.7016590110259497,-44.73586511937464,3,3
0.03206412825651302,0.7062785361706013,-45.03605901681166,3,3
0.03406813627254509,0.7106440531431872,-45.321014149875936,3,3
0.03607214428857715,0.7147547404657913,-45.590404984239996,3,3
0.038076152304609215,0.7186097766604982,-45.84390598557641,3,3
0.04008016032064128,0.7222083402493914,-46.081191619557615,3,3
0.04208416833667334,0.7255496097545556,-46.301936351856284,3,3
0.044088176352705406,0.7286325661517525,-46.50633984419562,3,3
0.04609218436873747,0.7314562944344106,-46.694516705610795,3,3
0.04809619238476953,0.7340204196551245,-46.86551226319341,3,3
0.0501002004008016,0.7363242508431689,-47.01924892936066,3,3
0.052104208416833664,0.7383670970278187,-47.15564911653004,3,3
0.05410821643286573,0.7401482672383479,-47.2746352371187,3,3
0.05611222444889779,0.7416670705040324,-47.37612970354428,3,3
0.058116232464929855,0.7429228158541462,-47.46005492822374,3,3
0.06012024048096192,0.7439147590653541,-47.52644124592911,3,3
0.06212424849699398,0.7446415618781268,-47.576815716816526,3,3
0.06412825651302605,0.7451039497526301,-47.60950449076964,3,3
0.06613226452905811,0.7453019067647101,-47.62453949604662,3,3
0.06813627254509018,0.7452354169902133,-47.62195266090637,3,3
0.07014028056112225,0.7449044645049864,-47.601775913607185,3,3
0.0721442885771543,0.7443090333848758,-47.56404118240755,3,3
0.07414829659318636,0.743449107705728,-47.50878039556619,3,3
0.07615230460921843,0.7423246715433895,-47.436025481341346,3,3
0.0781563126252505,0.7409349781684356,-47.347257484224656,3,3
0.08016032064128256,0.7392810659934314,-47.24160322647748,3,3
0.08216432865731463,0.737363985141168,-47.11865462202306,3,3
0.08416833667334668,0.7351845168073834,-46.97850257234623,3,3
0.08617234468937875,0.7327434421878165,-46.82123797893192,3,3
0.08817635270541081,0.7300415424782052,-46.64695174326516,3,3
0.09018036072144288,0.7270795988742879,-46.4557347668308,3,3
0.09218436873747494,0.7238583925718027,-46.24767795111367,3,3
0.09418837675350701,0.7203782690511156,-46.02368840894897,3,3
0.09619238476953906,0.7166402300766257,-45.78415066382689,3,3
0.09819639278557113,0.7126464668799605,-45.528085532450405,3,3
0.1002004008016032,0.7083985960160819,-45.255610440451136,3,3
0.10220440881763526,0.7038982340399513,-44.96684281346063,3,3
0.10420841683366733,0.6991469975065309,-44.66190007711023,3,3
0.1062124248496994,0.694146502970782,-44.34089965703134,3,3
0.10821643286573146,0.6888983669876668,-44.00395897885559,3,3
0.11022044088176351,0.6834041067617972,-43.65138899352311,3,3
0.11222444889779558,0.6776648066359012,-43.28468804013741,3,3
0.11422845691382764,0.671683555609321,-42.902436917743046,3,3
0.11623246492985971,0.6654627244763771,-42.504784671463,3,3
0.11823647294589178,0.6590046840313897,-42.09188034642014,3,3
0.12024048096192384,0.6523118050686789,-41.66387298773722,3,3
0.1222444889779559,0.6453864583825658,-41.220911640537395,3,3
0.12424849699398796,0.6382310147673703,-40.76314534994333,3,3
0.12625250501002003,0.6308478450174128,-40.29072316107795,3,3
0.1282565130260521,0.6232388503459998,-39.80498490409582,3,3
0.13026052104208416,0.615407261351012,-39.30523264446384,3,3
0.13226452905811623,0.6073562426407606,-38.791345740746635,3,3
0.1342685370741483,0.5990888227388237,-38.26351259505205,3,3
0.13627254509018036,0.5906080301687795,-37.72192160948862,3,3
0.13827655310621242,0.5819168934542064,-37.16676118616434,3,3
0.1402805611222445,0.5730184411186823,-36.59821972718734,3,3
0.14228456913827653,0.5639157016857858,-36.016485634665685,3,3
0.1442885771543086,0.5546115498077983,-35.42227844640084,3,3
0.14629258517034066,0.5451092748452104,-34.81586102052961,3,3
0.14829659318637273,0.5354126389796767,-34.19687977727702,3,3
0.1503006012024048,0.5255252363448764,-33.56556332731441,3,3
0.15230460921843686,0.5154506610744884,-32.92214028131323,3,3
0.15430861723446893,0.5051925073021925,-32.266839249945065,3,3
0.156312625250501,0.49475436916166765,-31.59988884388133,3,3
0.15831663326653306,0.48413984078659333,-30.921517673793517,3,3
0.16032064128256512,0.4733525177441224,-30.232053015724233,3,3
0.1623246492985972,0.4623961287752206,-29.532153152654786,3,3
0.16432865731462926,0.4512747056209486,-28.82155793803706,3,3
0.16633266533066132,0.4399923314018075,-28.10052618413451,3,3
0.16833667334669336,0.4285530892382986,-27.369316703210686,3,3
0.17034068136272543,0.4169610622509228,-26.628188307529243,3,3
0.1723446893787575,0.4052203335601812,-25.877399809353875,3,3
0.17434869739478956,0.39333498628657515,-25.11721002094812,3,3
0.17635270541082163,0.38130910355060565,-24.347877754575592,3,3
0.1783567134268537,0.36914707815254966,-23.56972169093035,3,3
0.18036072144288576,0.3568530933163318,-22.782970551858668,3,3
0.18236472945891782,0.3444316016802349,-21.98789041541525,3,3
0.1843687374749499,0.3318871053541596,-21.184757821632644,3,3
0.18637274549098196,0.3192241064480068,-20.37384931054318,3,3
0.18837675350701402,0.306447107071677,-19.5554414221794,3,3
0.1903807615230461,0.29356060933507094,-18.72981069657365,3,3
0.19238476953907813,0.28056911534808954,-17.897233673758436,3,3
0.1943887775551102,0.2674773744493283,-17.057775482585058,3,3
0.19639278557114226,0.2542900497625149,-16.211743666916604,3,3
0.19839679358717432,0.24101177029154164,-15.359618266432449,3,3
0.2004008016032064,0.2276473841397395,-14.501688314651233,3,3
0.20240480961923846,0.2142017394104398,-13.63824284509191,3,3
0.20440881763527052,0.2006796842069734,-12.769570891273133,3,3
0.2064128256513026,0.18708606663267136,-11.895961486713759,3,3
0.20841683366733466,0.1734257347908648,-11.017703664932533,3,3
0.21042084168336672,0.15970359129147865,-10.134962810170379,3,3
0.2124248496993988,0.1459247129744702,-9.247694682311838,3,3
0.21442885771543085,0.13209398516198345,-8.356673194376,3,3
0.21643286573146292,0.11821651552488757,-7.462206855235543,3,3
0.21843687374749496,0.10429741173405196,-6.564604173763055,3,3
0.22044088176352702,0.09034178146034538,-5.664173658831114,3,3
0.2224448897795591,0.07635473237463722,-4.761223819312324,3,3
0.22444889779559116,0.06234137214779666,-3.856063164079316,3,3
0.22645290581162322,0.048306808450692865,-2.9490002020046973,3,3
0.2284569138276553,0.034255811140056144,-2.040109145002088,3,3
0.23046092184368736,0.02019393710038174,-1.1299351920636385,3,3
0.23246492985971942,0.006126504050004802,-0.21884301021503272,3,3
0.2344689378757515,-0.007941213235743228,0.6928314442924415,3,3
0.23647294589178355,-0.02200393998153084,1.6047522152074842,3,3
0.23847695390781562,-0.036056401412026595,2.516583346278807,3,3
