L,order,contrast,condest,L2-u1-T,L2-u1-T-rel,L-infty-L2-error-u,L-infty-L2-error-ut,L2-L2-error-u_t,L2-u1-0,H1-u1-0,L2-error-u_t-at-0,H1-dt-at-t-0,bestapprox-L2-u1-T,bestapprox-L2-u1-T-rel,bestapprox-L-infty-L2-error-u,bestapprox-L-infty-L2-error-ut,bestapprox-L2-L2-error-u_t,bestapprox-L2-u1-0,bestapprox-H1-u1-0,bestapprox-L2-error-u_t-at-0,bestapprox-H1-dt-at-t-0
1,2,1.0,84.60936134240337,0.0009531797743556209,400684746.3149863,0.006176902733008736,0.09811661979064745,0.04426703239930232,0.006176902733008736,0.09078976833284606,0.09811661979064745,0.18890638812349353,0.00016586538181827075,69724232.74635783,0.002005459248404166,0.06837690365770158,0.036586606777227595,0.0019452431395821088,0.07827954888719338,0.06837690365770158,0.14665645254489496
2,2,1.0,24819.823110051722,0.000699945622592218,34424142.05467866,0.0034224339641271873,0.08910328225794163,0.04667628112523572,0.0020153569691012565,0.03924057856887179,0.07572554271063758,0.11496612127950936,1.0607842626135744e-05,521706.0721137115,0.0007225475077419965,0.07494735963522771,0.027436395474631645,0.00045128388040683454,0.037975055924712134,0.04363631623242395,0.08161137215713608
3,2,1.0,1390535.2581595595,2.078223141072912e-05,441184.0794153158,0.0008807764885047618,0.04201583570686497,0.02429014235515728,0.0003714053609643382,0.01859626425649655,0.04201583570686497,0.06061209996336152,3.784752298970217e-08,803.4615849644191,0.00013595639030672123,0.02515626314671484,0.009584880254482125,0.00013595639030672123,0.01657545305320573,0.02515626314671484,0.04173171619992057
4,2,1.0,27967329.720507883,6.430322958827996e-06,106801.96430567309,0.0003665220642095547,0.019089334106455025,0.011087724985502043,9.462423830328507e-05,0.004928666535394749,0.00818321020171437,0.01311187673710912,5.266851029240587e-10,8.747772689332777,2.2082107254939447e-05,0.007247224432039211,0.0027057013017995546,2.0382551507420088e-05,0.003194233434493677,0.007247224432039211,0.010441457866532888
1,2,1.5,36.43863214529061,0.0006955020506769476,0.919064982173073,0.005118423813116331,0.10932171930844845,0.06428122222784745,0.005118423813116331,0.07705406623090401,0.10932171930844845,0.18637578553935247,0.0004140577413121619,0.5471529095669683,0.003579895335478403,0.12149610833423356,0.05850630422903686,0.0025073080850921328,0.09502735092395008,0.12149610833423356,0.21652345925818364
2,2,1.5,9777.49965229968,0.000715101507980266,1.3481914592727293,0.0035532193420974457,0.11742477414209308,0.059366221450301834,0.0035532193420974457,0.05649997354327417,0.11742477414209308,0.17392474768536725,0.00027275107104182266,0.514221632009511,0.0016858485688269285,0.11207740961072334,0.04558830880083048,0.0014448915828626156,0.0643815572253482,0.11207740961072334,0.17645896683607154
3,2,1.5,627879.4372798089,0.0002681483132220683,0.5376056011375102,0.0014543790851245417,0.10909207659628468,0.04330268863185767,0.0006428806319367818,0.024017977695078154,0.10909207659628468,0.13311005429136283,8.126107200966123e-05,0.16291882257955256,0.0003783868649676875,0.07004908440846071,0.027014229637915756,0.0003783868649676875,0.02418763615013006,0.07004908440846071,0.09423672055859077
4,2,1.5,13844780.0005419,0.00017291878979465544,0.3453771914545577,0.0007398508662006054,0.043778869062807965,0.02461448931679159,0.00016751879082783818,0.00797187933766234,0.025368997087216242,0.03334087642487858,1.2675020297705514e-05,0.02531629395075923,6.116352461808171e-05,0.030356213182171837,0.011936765038770865,6.116352461808171e-05,0.004527385056816759,0.023118321757857187,0.027645706814673945
1,2,2.0,27.75796994322848,0.0007687043109504835,1.28516026583494,0.004135191029389136,0.1438916802712406,0.0645309637952134,0.004135191029389136,0.06482732312611954,0.1279290211452203,0.19275634427133986,0.0005176479473172452,0.865431042998268,0.0038651706656634205,0.13351274121552156,0.06479644295825612,0.0023051484931680822,0.07933369270967723,0.12842825221142182,0.20776194492109906
2,2,2.0,5616.069155251385,0.0013191151105749258,1.7540057865930296,0.004925678753846176,0.1650930988731666,0.0716816502622296,0.004925678753846176,0.06979830841469076,0.1650930988731666,0.23489140728785735,0.000594932154849292,0.7910715553710176,0.0024645056124248535,0.16220700420200138,0.06284078469688822,0.0020706923712986163,0.07908555420841412,0.16220700420200138,0.2412925584104155
3,2,2.0,336111.46703502693,0.00041550884115772044,0.4914480817015612,0.0026646776415023632,0.1549399886924066,0.0663144737910501,0.0007673533200977952,0.020760266426859773,0.1549399886924066,0.17570025511926637,0.00026587703987928296,0.31446926821844656,0.0007099857823787614,0.14819305646108136,0.05134659537983811,0.0007099857823787614,0.033870306055600555,0.1298688525566375,0.16373915861223803
4,2,2.0,3434259.0173182585,3.8169659493058423e-05,0.04575504377440395,0.0010514073868229344,0.08689137718460138,0.040024502464471985,0.00034656236667971065,0.013597385679846542,0.06644572789157957,0.08004311357142611,4.56596399074424e-05,0.05473349383869891,0.00013442024589864306,0.06119721934914373,0.02474524628023183,0.00013442024589864306,0.007714756816419899,0.05080626559597593,0.05852102241239583
