x,y,y_dt,L,k
0.0,-1.2940661707482338e-09,4.2038224181442576e-07,3,3
0.002004008016032064,-1.3315449993749063e-09,3.3000336838786174e-07,3,3
0.004008016032064128,-1.3071223087979789e-09,2.6015797458949944e-07,3,3
0.0060120240480961915,-1.2924807633253584e-09,2.191935758115341e-07,3,3
0.008016032064128256,-1.359303027264945e-09,2.1545768744615946e-07,3,3
0.01002004008016032,-1.579271764924645e-09,2.572978248855707e-07,3,3
0.012024048096192383,-2.0240696406123615e-09,3.5306150352196236e-07,3,3
0.014028056112224447,-2.765379318636e-09,5.110962387475293e-07,3,3
0.01603206412825651,-3.874883463303465e-09,7.397495459544664e-07,3,3
0.018036072144288574,-5.424264738922656e-09,1.0473689405349673e-06,3,3
0.02004008016032064,-7.485205809801485e-09,1.4423019378812282e-06,3,3
0.022044088176352703,-1.0129389340247848e-08,1.9328960533854425e-06,3,3
0.024048096192384766,-1.3428497994569648e-08,2.5274988024398045e-06,3,3
0.026052104208416832,-1.7454214437074808e-08,3.2344577004365116e-06,3,3
0.028056112224448895,-2.2278221332071204e-08,4.0621202627677545e-06,3,3
0.03006012024048096,-2.797220134386676e-08,5.018834004825732e-06,3,3
0.03206412825651302,-3.857277266519408e-08,6.80565262443833e-06,3,3
0.03406813627254509,-5.3388716762144144e-08,9.381479613610055e-06,3,3
0.03607214428857715,-6.772879042878853e-08,1.192219524378484e-05,3,3
0.038076152304609215,-8.431620610934092e-08,1.48548251561699e-05,3,3
0.04008016032064128,-1.0587417624801476e-07,1.860639499197241e-05,3,3
0.04208416833667334,-1.3512591328902354e-07,2.3603930392399548e-05,3,3
0.044088176352705406,-1.7479462967658102e-07,3.0274456998658536e-05,3,3
0.04609218436873747,-2.2760353785490047e-07,3.904500045195653e-05,3,3
0.04809619238476953,-2.9627585026819534e-07,5.0342586393500685e-05,3,3
0.0501002004008016,-3.835347793606796e-07,6.459424046449827e-05,3,3
0.052104208416833664,-4.921035375765664e-07,8.222698830615643e-05,3,3
0.05410821643286573,-6.247053373600696e-07,0.00010366785555968235,3,3
0.05611222444889779,-7.84063391155402e-07,0.00012934386786628315,3,3
0.058116232464929855,-9.729009114067779e-07,0.00015968205086716616,3,3
0.06012024048096192,-1.193941110558411e-06,0.00019510943020353854,3,3
0.06212424849699398,-1.4499072010545136e-06,0.0002360530315166073,3,3
0.06412825651302605,-1.9296962300120986e-06,0.0003084501541429547,3,3
0.06613226452905811,-2.456683965478261e-06,0.0003890450774991339,3,3
0.06813627254509018,-3.0278255358420003e-06,0.0004771443406531384,3,3
0.07014028056112225,-3.689506445237069e-06,0.0005787071758323369,3,3
0.0721442885771543,-4.488112197797209e-06,0.0006996928152640966,3,3
0.07414829659318636,-5.470028297656186e-06,0.0008460604911757878,3,3
0.07615230460921843,-6.6816402489477435e-06,0.001023769435794778,3,3
0.0781563126252505,-8.169333555805632e-06,0.0012387788813484353,3,3
0.08016032064128256,-9.979493722363608e-06,0.0014970480600641285,3,3
0.08216432865731463,-1.2158506252755416e-05,0.0018045362041692256,3,3
0.08416833667334668,-1.475275665111479e-05,0.0021672025458910928,3,3
0.08617234468937875,-1.780863042157552e-05,0.0025910063174571026,3,3
0.08817635270541081,-2.1372513068271338e-05,0.0030819067510946224,3,3
0.09018036072144288,-2.5490790095335994e-05,0.003645863079031019,3,3
0.09218436873747494,-3.0209847006903243e-05,0.0042888345334936625,3,3
0.09418837675350701,-3.5809269447671236e-05,0.0050276601807808016,3,3
0.09619238476953906,-4.291594087475846e-05,0.005907324693165021,3,3
0.09819639278557113,-5.086012830811571e-05,0.006908057892164266,3,3
0.1002004008016032,-5.9862668079179005e-05,0.00804399202307222,3,3
0.10220440881763526,-7.014439651938435e-05,0.009329259331182558,3,3
0.10420841683366733,-8.192614996016786e-05,0.010777992061788984,3,3
0.1062124248496994,-9.542876473296553e-05,0.012404322460185163,3,3
0.10821643286573146,-0.0001108730771692134,0.014222382771664792,3,3
0.11022044088176351,-0.0001284799236003474,0.016246305241521534,3,3
0.11222444889779558,-0.00014847014035780382,0.01849022211504911,3,3
0.11422845691382764,-0.0001710645637730185,0.020968265637541172,3,3
0.11623246492985971,-0.00019648403017742758,0.02369456805429143,3,3
0.11823647294589178,-0.00022494937590246712,0.02668326161059355,3,3
0.12024048096192384,-0.0002566814372795731,0.029948478551741226,3,3
0.1222444889779559,-0.00029190105064018135,0.033504351123028124,3,3
0.12424849699398796,-0.0003308290523157283,0.03736501156974795,3,3
0.12625250501002003,-0.0003727683739120207,0.041310453646717704,3,3
0.1282565130260521,-0.00041895747796082084,0.0454943080979031,3,3
0.13026052104208416,-0.0004700870418726361,0.05002395548240683,3,3
0.13226452905811623,-0.0005261138918020045,0.05484745495069651,3,3
0.1342685370741483,-0.0005869948539034643,0.059912865653239784,3,3
0.13627254509018036,-0.0006526867543315537,0.0651682467405043,3,3
0.13827655310621242,-0.0007231464192408116,0.07056165736295772,3,3
0.1402805611222445,-0.0007983306747857757,0.0760411566710677,3,3
0.14228456913827653,-0.0008781963471209835,0.08155480381530178,3,3
0.1442885771543086,-0.0009627002624009753,0.0870506579461278,3,3
0.14629258517034066,-0.0010517992467802887,0.0924767782140133,3,3
0.14829659318637273,-0.0011454501264134618,0.09778122376942597,3,3
0.1503006012024048,-0.0012436097274550332,0.10291205376283345,3,3
0.15230460921843686,-0.0013462348760595409,0.1078173273447034,3,3
0.15430861723446893,-0.0014532823983815233,0.1124451036655034,3,3
0.156312625250501,-0.001564567353882139,0.11674811419169089,3,3
0.15831663326653306,-0.0016753469737179332,0.12066155917945066,3,3
0.16032064128256512,-0.001788980805798565,0.12385516774897949,3,3
0.1623246492985972,-0.0019045801114421857,0.12629216068887356,3,3
0.16432865731462926,-0.002021256151966947,0.12793575878772873,3,3
0.16633266533066132,-0.0021381201886910015,0.1287491828341414,3,3
0.16833667334669336,-0.0022542834829324997,0.12869565361670773,3,3
0.17034068136272543,-0.0023688572960095956,0.12773839192402367,3,3
0.1723446893787575,-0.002480952889240439,0.12584061854468526,3,3
0.17434869739478956,-0.0025896815239431835,0.12296555426728896,3,3
0.17635270541082163,-0.0026941544614359795,0.11907641988043063,3,3
0.1783567134268537,-0.00279348296303698,0.11413643617270659,3,3
0.18036072144288576,-0.0028867782900643354,0.1081088239327128,3,3
0.18236472945891782,-0.002973151703836199,0.10095680394904565,3,3
0.1843687374749499,-0.003051714465670721,0.09264359701030078,3,3
0.18637274549098196,-0.0031215778368860548,0.0831324239050749,3,3
0.18837675350701402,-0.0031843730949871808,0.07281895662460992,3,3
0.1903807615230461,-0.0032389880957945567,0.06200792491228839,3,3
0.19238476953907813,-0.003281836384235347,0.05034415647434648,3,3
0.1943887775551102,-0.003313151024585701,0.03797835548349007,3,3
0.19639278557114226,-0.0033331650811217646,0.0250612261124249,3,3
0.19839679358717432,-0.0033421116181196857,0.01174347253385636,3,3
0.2004008016032064,-0.003340223699855611,-0.0018242010795088623,3,3
0.20240480961923846,-0.003327734390605689,-0.01549109055496533,3,3
0.20440881763527052,-0.003304876754646066,-0.029106491719807198,3,3
0.2064128256513026,-0.0032718838562528895,-0.04251970040132898,3,3
0.20841683366733466,-0.003228988759702307,-0.055580012426824504,3,3
0.21042084168336672,-0.003176424529270467,-0.06813672362358787,3,3
0.2124248496993988,-0.003114424229233515,-0.08003912981891358,3,3
0.21442885771543085,-0.0030432209238675997,-0.09113652684009547,3,3
